customer_id,firstname,lastname,brand,first_order_date,last_order_date,days_since_last,lifespan_days,lifespan_years,total_orders,avg_order_value,total_spent,frequency_per_year,clv,clv_tier,is_dormant,order_year_month
1,Omar,Hassan,CASIO,2025-06-25,2025-07-07,246,258,0.71,9,165.81,1492.29,12.73,1492.29,MID,1,2025-07
2,John,Brown,CASIO,2025-08-14,2026-01-12,57,208,0.57,14,43.28,605.92,24.57,605.92,LOW,0,2026-01
3,Lucas,Martin,ALDO,2023-04-11,2023-06-04,1010,1064,2.92,18,139.33,2507.94,6.17,2507.94,HIGH,1,2023-06
4,Ali,Gomez,ALDO,2023-08-04,2025-03-29,346,949,2.6,9,490.42,4413.78,3.46,4413.78,HIGH,1,2025-03
5,Zara,Hassan,CASIO,2023-09-27,2024-09-09,547,895,2.45,9,114.4,1029.6,3.67,1029.6,MID,1,2024-09
6,Arjun,Costa,ALDO,2023-12-23,2024-03-31,709,808,2.21,12,512.31,6147.72,5.42,6147.72,HIGH,1,2024-03
7,Aisha,Patel,ALDO,2023-07-14,2025-01-13,421,970,2.66,4,584.54,2338.16,1.51,2338.16,HIGH,1,2025-01
8,John,Smith,CASIO,2024-06-18,2025-06-23,260,630,1.73,19,135.57,2575.83,11.01,2575.83,HIGH,1,2025-06
9,Nina,Hassan,CASIO,2024-10-30,2025-11-29,101,496,1.36,10,591.5,5915.0,7.36,5915.0,HIGH,1,2025-11
10,Mike,Brown,KANMO,2024-07-19,2025-10-26,135,599,1.64,12,118.53,1422.36,7.31,1422.36,MID,1,2025-10
11,Lucas,Singh,CASIO,2024-08-11,2024-10-23,503,576,1.58,20,390.11,7802.2,12.67,7802.2,HIGH,1,2024-10
12,Lucas,Singh,ALDO,2023-07-08,2024-07-30,588,976,2.67,9,593.98,5345.82,3.37,5345.82,HIGH,1,2024-07
13,Zara,Kumar,CASIO,2024-04-15,2024-06-11,637,694,1.9,8,497.54,3980.32,4.21,3980.32,HIGH,1,2024-06
14,Zara,Brown,KANMO,2025-09-26,2025-11-19,111,165,0.45,19,528.91,10049.29,42.03,10049.29,HIGH,1,2025-11
15,Omar,Singh,CASIO,2023-04-23,2025-07-11,242,1052,2.88,15,107.15,1607.25,5.2,1607.25,MID,1,2025-07
16,Nina,Lee,CASIO,2024-08-19,2025-10-31,130,568,1.56,19,254.66,4838.54,12.21,4838.54,HIGH,1,2025-10
17,Omar,Gomez,CASIO,2023-05-05,2023-11-07,854,1040,2.85,2,520.13,1040.26,0.7,1040.26,MID,1,2023-11
18,Arjun,Ali,CASIO,2023-09-28,2025-05-30,284,894,2.45,3,246.24,738.72,1.22,738.72,LOW,1,2025-05
19,Lucas,Costa,CASIO,2024-09-12,2024-09-23,533,544,1.49,4,416.98,1667.92,2.68,1667.92,MID,1,2024-09
20,Fatima,Khan,CASIO,2024-03-14,2024-07-06,612,726,1.99,10,274.99,2749.9,5.03,2749.9,HIGH,1,2024-07
21,Priya,Yilmaz,CASIO,2024-08-18,2026-01-12,57,569,1.56,6,316.92,1901.52,3.85,1901.52,MID,0,2026-01
22,Lena,Garcia,CASIO,2023-04-06,2024-05-17,662,1069,2.93,5,240.0,1200.0,1.71,1200.0,MID,1,2024-05
23,Mike,Yilmaz,CASIO,2026-02-07,2026-02-27,11,31,0.08,16,36.2,579.2,160.0,491.92,LOW,0,2026-02
24,John,Johnson,ALDO,2025-10-13,2025-12-13,87,148,0.41,19,569.5,10820.5,46.86,10820.5,HIGH,0,2025-12
25,Lena,Costa,ALDO,2025-05-27,2025-07-31,222,287,0.79,16,569.44,9111.04,20.35,9111.04,HIGH,1,2025-07
26,Raj,Yilmaz,CASIO,2023-09-26,2024-04-29,680,896,2.45,18,459.28,8267.04,7.33,8267.04,HIGH,1,2024-04
27,Nina,Singh,KANMO,2024-01-06,2025-03-29,346,794,2.18,17,284.6,4838.2,7.81,4838.2,HIGH,1,2025-03
28,Sofia,Singh,ALDO,2024-03-18,2024-04-08,701,722,1.98,19,343.5,6526.5,9.61,6526.5,HIGH,1,2024-04
29,Sara,Ahmed,ALDO,2025-09-16,2026-02-24,14,175,0.48,2,156.64,313.28,4.17,313.28,LOW,0,2026-02
30,Raj,Garcia,ALDO,2023-03-24,2024-07-23,595,1082,2.96,9,409.66,3686.94,3.04,3686.94,HIGH,1,2024-07
31,Raj,Hassan,ALDO,2023-06-16,2024-02-19,750,998,2.73,16,489.31,7828.96,5.85,7828.96,HIGH,1,2024-02
32,Sara,Hassan,ALDO,2023-09-10,2024-09-06,550,912,2.5,14,261.38,3659.32,5.6,3659.32,HIGH,1,2024-09
33,Priya,Singh,ALDO,2023-11-07,2025-11-21,109,854,2.34,11,485.34,5338.74,4.7,5338.74,HIGH,1,2025-11
34,Lena,Costa,ALDO,2025-01-15,2025-10-16,145,419,1.15,15,105.6,1584.0,13.07,1584.0,MID,1,2025-10
35,Lucas,Hassan,KANMO,2024-09-15,2024-12-01,464,541,1.48,15,489.61,7344.15,10.12,7344.15,HIGH,1,2024-12
36,James,Johnson,ALDO,2026-01-09,2026-01-14,55,60,0.16,8,120.63,965.04,48.67,965.04,MID,0,2026-01
37,Aisha,Costa,ALDO,2023-11-10,2024-01-09,791,851,2.33,6,242.91,1457.46,2.57,1457.46,MID,1,2024-01
38,James,Lee,KANMO,2024-07-04,2025-09-10,181,614,1.68,18,405.58,7300.44,10.7,7300.44,HIGH,1,2025-09
39,Lucas,Smith,ALDO,2024-06-11,2025-01-19,415,637,1.75,2,358.03,716.06,1.15,716.06,LOW,1,2025-01
40,Meera,Sharma,CASIO,2024-05-07,2024-07-04,614,672,1.84,2,360.9,721.8,1.09,721.8,LOW,1,2024-07
41,John,Nair,ALDO,2025-10-15,2026-02-22,16,146,0.4,3,514.52,1543.56,7.5,1543.56,MID,0,2026-02
42,Sofia,Singh,ALDO,2024-10-15,2025-12-02,98,511,1.4,4,566.42,2265.68,2.86,2265.68,HIGH,1,2025-12
43,Sofia,Chen,CASIO,2025-11-19,2026-02-06,32,111,0.3,3,266.05,798.15,9.86,798.15,LOW,0,2026-02
44,Zara,Singh,CASIO,2024-05-02,2025-01-24,410,677,1.85,7,410.09,2870.63,3.77,2870.63,HIGH,1,2025-01
45,John,Khan,KANMO,2023-11-21,2024-04-03,706,840,2.3,10,287.9,2879.0,4.35,2879.0,HIGH,1,2024-04
46,Tom,Lee,KANMO,2025-07-19,2025-08-06,216,234,0.64,18,147.56,2656.08,28.08,2656.08,HIGH,1,2025-08
47,Fatima,Garcia,KANMO,2025-09-21,2025-11-22,108,170,0.47,12,188.87,2266.44,25.76,2266.44,HIGH,1,2025-11
48,Lucas,Yilmaz,CASIO,2024-05-30,2026-02-15,23,649,1.78,17,29.5,501.5,9.56,501.5,LOW,0,2026-02
49,Priya,Garcia,CASIO,2025-07-11,2026-03-08,2,242,0.66,5,177.07,885.35,7.54,885.35,MID,0,2026-03
50,Zara,Brown,ALDO,2024-07-31,2025-05-15,299,587,1.61,20,146.11,2922.2,12.44,2922.2,HIGH,1,2025-05
51,Sara,Patel,CASIO,2024-08-17,2026-01-16,53,570,1.56,16,169.39,2710.24,10.25,2710.24,HIGH,0,2026-01
52,Zara,Lee,CASIO,2023-09-25,2026-01-21,48,897,2.46,9,50.35,453.15,3.66,453.15,LOW,0,2026-01
53,David,Garcia,CASIO,2024-08-21,2025-02-02,401,566,1.55,15,342.22,5133.3,9.67,5133.3,HIGH,1,2025-02
54,Mike,Chen,ALDO,2025-06-24,2025-08-01,221,259,0.71,5,338.71,1693.55,7.05,1693.55,MID,1,2025-08
55,Mike,Smith,CASIO,2025-04-11,2025-11-17,113,333,0.91,5,49.05,245.25,5.48,245.25,LOW,1,2025-11
56,Mike,Garcia,KANMO,2024-12-05,2025-11-19,111,460,1.26,8,408.49,3267.92,6.35,3267.92,HIGH,1,2025-11
57,Lena,Martin,KANMO,2025-03-29,2025-07-28,225,346,0.95,6,586.32,3517.92,6.33,3517.92,HIGH,1,2025-07
58,David,Singh,ALDO,2025-02-06,2026-02-18,20,397,1.09,11,474.87,5223.57,10.11,5223.57,HIGH,0,2026-02
59,James,Singh,KANMO,2025-03-19,2025-05-13,301,356,0.98,13,526.5,6844.5,13.33,6844.5,HIGH,1,2025-05
60,Nina,Singh,ALDO,2023-07-12,2024-07-04,614,972,2.66,10,496.81,4968.1,3.76,4968.1,HIGH,1,2024-07
61,John,Costa,ALDO,2025-01-09,2025-08-01,221,425,1.16,11,185.2,2037.2,9.45,2037.2,HIGH,1,2025-08
62,Ali,Hassan,KANMO,2023-04-02,2025-06-28,255,1073,2.94,18,215.41,3877.38,6.12,3877.38,HIGH,1,2025-06
63,Arjun,Martin,KANMO,2025-02-08,2025-12-02,98,395,1.08,9,47.0,423.0,8.32,423.0,LOW,1,2025-12
64,Priya,Kumar,KANMO,2024-05-07,2025-07-27,226,672,1.84,20,590.94,11818.8,10.86,11818.8,HIGH,1,2025-07
65,Ali,Sharma,CASIO,2025-01-15,2025-05-25,289,419,1.15,2,432.55,865.1,1.74,865.1,MID,1,2025-05
66,Zara,Nair,CASIO,2025-01-01,2025-07-06,247,433,1.19,14,65.23,913.22,11.8,913.22,MID,1,2025-07
67,David,Ahmed,KANMO,2025-05-29,2025-10-29,132,285,0.78,17,202.84,3448.28,21.77,3448.28,HIGH,1,2025-10
68,Aisha,Gomez,KANMO,2024-06-13,2026-01-01,68,635,1.74,5,135.31,676.55,2.87,676.55,LOW,0,2026-01
69,Hana,Yilmaz,CASIO,2024-06-02,2025-07-22,231,646,1.77,18,504.39,9079.02,10.17,9079.02,HIGH,1,2025-07
70,Zara,Ali,ALDO,2023-09-12,2025-11-24,106,910,2.49,19,373.83,7102.77,7.62,7102.77,HIGH,1,2025-11
71,Lena,Patel,KANMO,2023-08-18,2025-07-09,244,935,2.56,7,318.93,2232.51,2.73,2232.51,HIGH,1,2025-07
72,Nina,Yilmaz,KANMO,2023-03-21,2025-02-04,399,1085,2.97,3,495.59,1486.77,1.01,1486.77,MID,1,2025-02
73,James,Nair,ALDO,2024-12-28,2025-03-13,362,437,1.2,1,51.57,51.57,0.84,51.57,LOW,1,2025-03
74,Aisha,Johnson,ALDO,2023-07-22,2024-09-18,538,962,2.64,19,136.8,2599.2,7.21,2599.2,HIGH,1,2024-09
75,Priya,Martin,KANMO,2024-09-27,2025-02-25,378,529,1.45,1,538.28,538.28,0.69,538.28,LOW,1,2025-02
76,Lucas,Singh,ALDO,2025-02-13,2026-02-04,34,390,1.07,17,292.12,4966.04,15.91,4966.04,HIGH,0,2026-02
77,Lucas,Nair,ALDO,2023-07-20,2023-12-03,828,964,2.64,15,408.86,6132.9,5.68,6132.9,HIGH,1,2023-12
78,Lucas,Ali,KANMO,2023-08-17,2025-05-05,309,936,2.56,17,270.38,4596.46,6.63,4596.46,HIGH,1,2025-05
79,Tom,Sharma,ALDO,2023-06-12,2024-09-14,542,1002,2.75,9,457.27,4115.43,3.28,4115.43,HIGH,1,2024-09
80,Hana,Singh,KANMO,2024-10-07,2025-07-15,238,519,1.42,15,69.55,1043.25,10.55,1043.25,MID,1,2025-07
81,Omar,Singh,KANMO,2024-03-23,2025-02-13,390,717,1.96,18,71.33,1283.94,9.16,1283.94,MID,1,2025-02
82,Zara,Garcia,KANMO,2025-04-02,2025-07-20,233,342,0.94,3,263.55,790.65,3.2,790.65,LOW,1,2025-07
83,Aisha,Chen,KANMO,2023-10-11,2023-12-13,818,881,2.41,7,503.91,3527.37,2.9,3527.37,HIGH,1,2023-12
84,Mike,Yilmaz,CASIO,2025-12-30,2026-02-16,22,70,0.19,16,28.39,454.24,83.43,454.24,LOW,0,2026-02
85,Nina,Johnson,KANMO,2023-10-04,2025-04-07,337,888,2.43,18,484.92,8728.56,7.4,8728.56,HIGH,1,2025-04
86,Zara,Kumar,ALDO,2024-07-30,2025-10-19,142,588,1.61,16,41.69,667.04,9.93,667.04,LOW,1,2025-10
87,Lucas,Khan,CASIO,2025-03-07,2025-11-01,129,368,1.01,5,588.92,2944.6,4.96,2944.6,HIGH,1,2025-11
88,Fatima,Gomez,KANMO,2025-12-15,2025-12-25,75,85,0.23,14,103.03,1442.42,60.12,1442.42,MID,0,2025-12
89,Zara,Ahmed,ALDO,2024-08-25,2025-09-17,174,562,1.54,11,146.7,1613.7,7.14,1613.7,MID,1,2025-09
90,James,Khan,KANMO,2024-07-19,2025-09-23,168,599,1.64,9,505.07,4545.63,5.48,4545.63,HIGH,1,2025-09
91,Sara,Khan,CASIO,2025-10-25,2026-01-22,47,136,0.37,8,398.83,3190.64,21.47,3190.64,HIGH,0,2026-01
92,Nina,Lee,ALDO,2024-12-27,2026-03-01,9,438,1.2,1,382.27,382.27,0.83,382.27,LOW,0,2026-03
93,Mike,Gomez,KANMO,2025-06-19,2025-10-08,153,264,0.72,15,427.19,6407.85,20.74,6407.85,HIGH,1,2025-10
94,Ali,Yilmaz,CASIO,2025-06-19,2025-09-10,181,264,0.72,10,87.16,871.6,13.83,871.6,MID,1,2025-09
95,Nina,Hassan,CASIO,2024-01-02,2025-02-11,392,798,2.19,7,68.7,480.9,3.2,480.9,LOW,1,2025-02
96,Sofia,Smith,CASIO,2024-06-01,2026-02-05,33,647,1.77,4,482.83,1931.32,2.26,1931.32,MID,0,2026-02
97,Zara,Khan,KANMO,2023-09-15,2025-07-23,230,907,2.48,12,64.65,775.8,4.83,775.8,LOW,1,2025-07
98,Fatima,Lee,KANMO,2023-05-12,2023-12-14,817,1033,2.83,14,577.45,8084.3,4.95,8084.3,HIGH,1,2023-12
99,Tom,Nair,KANMO,2025-02-13,2026-02-23,15,390,1.07,17,580.15,9862.55,15.91,9862.55,HIGH,0,2026-02
100,Sofia,Costa,CASIO,2023-05-25,2024-09-12,544,1020,2.79,14,499.8,6997.2,5.01,6997.2,HIGH,1,2024-09
101,Nina,Ali,KANMO,2024-09-24,2024-12-21,444,532,1.46,9,531.94,4787.46,6.17,4787.46,HIGH,1,2024-12
102,Zara,Gomez,CASIO,2023-12-25,2024-12-03,462,806,2.21,1,309.23,309.23,0.45,309.23,LOW,1,2024-12
103,Arjun,Costa,KANMO,2024-12-01,2025-05-31,283,464,1.27,9,220.69,1986.21,7.08,1986.21,MID,1,2025-05
104,David,Johnson,CASIO,2026-01-19,2026-02-21,17,50,0.14,7,74.23,519.61,51.1,519.61,LOW,0,2026-02
105,Ali,Patel,CASIO,2024-10-04,2026-02-03,35,522,1.43,16,282.7,4523.2,11.19,4523.2,HIGH,0,2026-02
106,Sofia,Wilson,KANMO,2024-11-12,2025-06-07,276,483,1.32,8,201.07,1608.56,6.05,1608.56,MID,1,2025-06
107,Fatima,Costa,KANMO,2024-03-06,2025-05-15,299,734,2.01,18,215.2,3873.6,8.95,3873.6,HIGH,1,2025-05
108,Zara,Hassan,KANMO,2024-09-12,2025-05-06,308,544,1.49,4,439.74,1758.96,2.68,1758.96,MID,1,2025-05
109,Tom,Chen,CASIO,2025-01-25,2025-05-03,311,409,1.12,7,449.7,3147.9,6.25,3147.9,HIGH,1,2025-05
110,Mike,Gomez,CASIO,2024-07-09,2024-10-19,507,609,1.67,7,195.34,1367.38,4.2,1367.38,MID,1,2024-10
111,Sara,Smith,KANMO,2026-01-11,2026-02-25,13,58,0.16,18,97.79,1760.22,113.28,1760.22,MID,0,2026-02
